event_id,headline,url,source,published,v1_place_name,v1_lat,v1_lon,valid_wildlife_article,event_type,event_subtype,species_common,species_scientific,species_iucn,animal_count,correct_place_name,correct_lat,correct_lon,location_precision,location_correct,location_error_type,human_casualties,human_injuries,animal_casualties,severity,cluster_id,notes_for_nikunj
GS001,"Zoological Survey to soon seek nod to translocate Great Nicobar corals",https://indianexpress.com/article/india/zsi-seek-nod-coral-translocation-great-nicobar-project-10741887/,Indian Express,2026-06-16,Great Nicobar,7.0,93.8333,YES,policy,habitat_management,Coral,,LC,,Great Nicobar Island,7.0,93.8333,point,YES,,0,0,0,medium,NICOBAR-CORAL,"Is coral conservation in scope for WildLens v2? Marine ecosystems may need explicit inclusion."
GS002,"Elephant runs amok at Kottiyoor temple in Kerala; no casualties reported",https://www.thehindu.com/news/national/kerala/elephant-runs-amok-at-kottiyoor-temple-in-kerala-no-casualties-reported/article71108281.ece,The Hindu,2026-06-16,Kerala,10.8505,76.2711,YES,hwc,elephant_run_amok,Asian Elephant,Elephas maximus,EN,1,Kottiyoor Kannur Kerala,11.95,75.55,district,NO,too_broad,0,0,0,medium,,"v1 extracted state centroid (Kerala) instead of Kottiyoor in Kannur district. Headline explicitly names Kottiyoor."
GS003,"Mining project overlaps wildlife corridor ignites debate",https://india.mongabay.com/short-article/2026/06/mining-project-overlaps-wildlife-corridor-ignites-debate/,Mongabay India,2026-06-15,Maharashtra,19.7515,75.7139,YES,habitat_threat,mining_encroachment,,,,0,Maharashtra,19.7515,75.7139,state,YES,,"0,0,0,high,","VALIDATE: Which corridor/mining project is this? v1 state-level is acceptable if no specific location in article."
GS004,"New butterfly species discovered in Arunachal Pradesh's Mayodia Pass",https://assamtribune.com/north-east/new-butterfly-species-discovered-in-arunachal-pradeshs-mayodia-pass-1612742,Assam Tribune,2026-06-15,Arunachal Pradesh,28.218,94.7278,YES,discovery,new_species,Butterfly (new species),,,1,Mayodia Pass Arunachal Pradesh,28.08,95.88,point,NO,too_broad,0,0,0,low,,"v1 extracted state centroid. Headline names Mayodia Pass specifically — a well-known high altitude pass in Dibang Valley."
GS005,"Assam: New Digboi Forest Division office building remains incomplete after two years",https://nenow.in/north-east-news/assam/assam-new-digboi-forest-division-office-building-remains-incomplete-after-two-years.html,Northeast Now,2026-06-15,Assam,26.2006,92.9376,BORDERLINE,policy,administration,,,,,Digboi Assam,27.38,95.62,district,NO,too_broad,0,0,0,low,,"VALIDATE: Is this relevant? It's forest department infrastructure news. v1 got Assam centroid; Digboi is the correct location."
GS006,"Rajasthan to deploy AI surveillance system in tiger reserves to curb poaching and monitor wildlife",https://news.google.com/rss/articles/CBMimAFBVV95...,The Pioneer,2026-06-15,Rajasthan,27.0238,74.2179,YES,conservation_action,surveillance_technology,Tiger,Panthera tigris,EN,,Rajasthan,27.0238,74.2179,state,YES,,0,0,0,low,,"State level is appropriate — policy covers multiple tiger reserves across Rajasthan."
GS007,"Five wild boars culled in Kannur",https://www.thehindu.com/news/national/kerala/five-wild-boars-culled-in-kannur/article71105547.ece,The Hindu,2026-06-15,Kannur,11.8745,75.3704,YES,hwc,culling,Wild Boar,Sus scrofa,LC,5,Kannur Kerala,11.8745,75.3704,district,YES,,0,0,5,low,,"Location correct. VALIDATE: Is Sus scrofa culling a priority event type for WildLens v2? Wild boar is LC."
GS008,"In Chhattisgarh's Hasdeo-Arand Rajasthan govt coal block granted in-principle forest clearance",https://indianexpress.com/article/india/rajasthan-in-principle-clearance-for-coal-block-in-hasdeo-arand-10738393/,Indian Express,2026-06-14,Chhattisgarh,21.2787,81.8661,YES,habitat_threat,mining_forest_clearance,,,,,Hasdeo-Arand Forest Chhattisgarh,22.5,82.7,district,NO,too_broad,0,0,0,high,,"v1 extracted state centroid. Hasdeo-Arand is a named elephant-rich forest and should be in the PA gazetteer. High severity — significant coal mining in an elephant corridor."
GS009,"Nagaon family's civet cub tale makes it to CBSE class 10 textbook",https://assamtribune.com/assam/nagaon-familys-civet-cub-tale-makes-it-to-cbse-class-10-textbook-1612722,Assam Tribune,2026-06-14,Nagaon,26.35,92.68,BORDERLINE,other,education,Small Indian Civet,,LC,,Nagaon Assam,26.35,92.68,district,YES,,0,0,0,low,,"VALIDATE: Include? It is conservation awareness/education but not a direct wildlife event. Human interest story."
GS010,"Nalbari man sets up Dolphin park to raise awareness on endangered river species",https://assamtribune.com/assam/nalbari-man-sets-up-dolphin-park-to-raise-awareness-on-endangered-river-species-1612721,Assam Tribune,2026-06-14,Nalbari,26.4457,91.4402,YES,conservation_action,ex_situ_awareness,Ganges River Dolphin,Platanista gangetica,EN,,Nalbari Assam,26.4457,91.4402,district,YES,,0,0,0,low,,"Location correct."
GS011,"Assam recorded 82 elephant deaths in train accidents highest in India",https://assamtribune.com/assam/assam-recorded-82-elephant-deaths-in-train-accidents-highest-in-india-1612717,Assam Tribune,2026-06-14,Assam,26.2006,92.9376,YES,mortality,train_collision,Asian Elephant,Elephas maximus,EN,82,Assam,26.2006,92.9376,state,YES,,0,0,82,critical,,"State level is correct — this is statewide aggregated data, not a single incident. 82 deaths is critical. VALIDATE: Is this one event or a data report covering many events? For v2 this should probably be stored as a research/data event type."
